# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Feb 14 22:59:18 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.5, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00152 -1.00761 9.00000 0.0900000036 1.0816895926    0.090 -3.212  3.4471  5.345    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -5.5e-17      0.00 7.470e-01 2.514e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 12.801 14.348 16.934 12.948
0.00152 -1.00761 9.00000 0.0964041650 1.1403471927    0.096 -3.080  3.4661  5.319    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.42e-17      0.00 7.470e-01 2.514e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 12.470 13.884 16.092 12.541
0.00152 -1.00761 9.00000 0.0978731662 1.1530905682    0.098 -3.049  3.4707  5.312    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.96e-17      0.00 7.469e-01 2.515e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 12.392 13.774 15.899 12.446
0.00152 -1.00761 9.00000 0.1000000015 1.1711064122    0.100 -3.001  3.4775  5.301    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.9e-17      0.00 7.469e-01 2.515e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 12.272 13.607 15.613 12.301
0.00152 -1.00761 9.00000 0.1075927466 1.2315724367    0.108 -2.890  3.4906  5.274    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.14e-16      0.00 7.469e-01 2.515e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 11.995 13.238 15.025 11.979
0.00152 -1.00761 9.00000 0.1199999899 1.3193153758    0.120 -2.722  3.5105  5.233    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.67e-16      0.00 7.468e-01 2.516e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 11.575 12.687 14.208 11.498
0.00152 -1.00761 9.00000 0.1400000006 1.4384526719    0.140 -2.539  3.5282  5.188    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.48e-16      0.00 7.466e-01 2.518e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 11.117 12.122 13.460 10.991
0.00152 -1.00761 9.00000 0.1515975595 1.4978393263    0.152 -2.457  3.5349  5.167    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.94e-16      0.00 7.466e-01 2.518e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 10.913 11.880 13.162 10.769
0.00152 -1.00761 9.00000 0.1599999964 1.5372931554    0.160 -2.402  3.5394  5.153    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.31e-16      0.00 7.465e-01 2.519e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 10.774 11.716 12.962 10.619
0.00152 -1.00761 9.00000 0.2000000179 1.6938791367    0.200 -2.195  3.5542  5.102    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.05e-16      0.00 7.464e-01 2.520e-01 2.884e-04 7.781e-05 7.057e-04 -1.000 1.604e-03 10.257 11.124 12.267 10.068
