# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Sat Feb 15 11:02:28 UTC 2025
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Attention: photometry includes extinction of Av=0.5, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00415 -0.56713 10.07188 0.5999999642 2.3211212854    0.600 -0.831  3.6668  4.666    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.11e-14      0.00 7.761e-01 2.203e-01 6.550e-04 1.769e-04 1.605e-03 -1.000 3.598e-03 6.847 7.343 8.003 6.550
0.00415 -0.56713 10.07188 0.6209569573 2.3347758788    0.621 -0.745  3.6811  4.652    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.35e-14      0.00 7.783e-01 2.181e-01 6.496e-04 1.755e-04 1.593e-03 -1.000 3.602e-03 6.633 7.087 7.699 6.328
0.00415 -0.56713 10.07188 0.6499999166 2.3520352771    0.650 -0.629  3.7002  4.633    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.76e-14      0.00 7.814e-01 2.150e-01 6.421e-04 1.734e-04 1.575e-03 -1.000 3.607e-03 6.343 6.751 7.309 6.033
0.00415 -0.56713 10.07188 0.6561654210 2.3554738942    0.656 -0.605  3.7040  4.628    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.87e-14      0.00 7.822e-01 2.142e-01 6.400e-04 1.729e-04 1.570e-03 -1.000 3.567e-03 6.282 6.683 7.231 5.973
0.00415 -0.56713 10.07188 0.6679363847 2.3618364994    0.668 -0.558  3.7111  4.617    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.09e-14      0.00 7.837e-01 2.127e-01 6.361e-04 1.719e-04 1.560e-03 -1.000 3.579e-03 6.165 6.554 7.083 5.858
0.00415 -0.56713 10.07188 0.6793082952 2.3677431922    0.679 -0.513  3.7179  4.606    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.25e-14      0.00 7.852e-01 2.112e-01 6.323e-04 1.709e-04 1.552e-03 -1.000 3.554e-03 6.052 6.431 6.944 5.749
0.00415 -0.56713 10.07188 0.6898615360 2.3730247904    0.690 -0.471  3.7240  4.595    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -1.36e-14      0.00 7.866e-01 2.099e-01 6.287e-04 1.699e-04 1.543e-03 -1.000 3.535e-03 5.947 6.318 6.817 5.647
0.00415 -0.56713 10.07188 0.6996902823 2.3777793731    0.700 -0.431  3.7296  4.585    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.27e-14      0.00 7.879e-01 2.086e-01 6.253e-04 1.690e-04 1.536e-03 -1.000 3.473e-03 5.848 6.213 6.699 5.553
0.00415 -0.56713 10.07188 0.7000000477 2.3779267258    0.700 -0.430  3.7298  4.584    1  0.000  0.543     0.00     0.00     0.00     0.00     0.00 -1 -2.85e-14      0.00 7.880e-01 2.085e-01 6.252e-04 1.690e-04 1.535e-03 -1.000 3.489e-03 5.844 6.209 6.695 5.549
0.00415 -0.56713 10.07188 0.7053982615 2.3804707323    0.705 -0.408  3.7328  4.578    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1    -3e-14      0.00 7.888e-01 2.077e-01 6.222e-04 1.684e-04 1.530e-03 -1.000 3.458e-03 5.790 6.152 6.631 5.498
