name,columns,statistic_name,statistic,pval,is_normal
ngc 2298,3p,Henze-Zirkler,241.87272959189085,0.0,False
ngc 2298,5p_color,Henze-Zirkler,182.09159745021358,0.0,False
ngc 2298,7p,Henze-Zirkler,82.40503217521393,0.0,False
ngc 2419,5p,Henze-Zirkler,30.78442040840608,0.0,False
ngc 2419,3p,Henze-Zirkler,113.87924327877379,3.243860216602177e-193,False
ngc 2419,5p_color,Henze-Zirkler,67.27052021762988,0.0,False
ngc 2419,7p,Henze-Zirkler,1388,0.0,False
ngc 2808,5p,MC - Henze-Zirkler,98.8472978096903,0.0,False
ngc 2808,3p,MC - Henze-Zirkler,386.62489860893965,0.0,False
ngc 2808,5p_color,MC - Henze-Zirkler,260.75698381883564,0.0,False
ngc 2808,7p,MC - Henze-Zirkler,79.8900098117438,0.0,False
e 3,5p,Henze-Zirkler,28.04774312242773,0.0,False
e 3,3p,Henze-Zirkler,85.0396062677636,2.799757419782216e-215,False
e 3,5p_color,Henze-Zirkler,82.25566008156564,0.0,False
e 3,7p,Henze-Zirkler,28.031120999010724,0.0,False
pal 3,5p,Henze-Zirkler,1.5553643833875141,6.5843185158235845e-12,False
pal 3,3p,Henze-Zirkler,2.333177651356941,2.06065070768258e-09,False
pal 3,5p_color,Henze-Zirkler,2.723614507127184,1.5765973954340682e-35,False
pal 3,7p,Henze-Zirkler,1.5557439401587823,4.433916912379055e-31,False
ngc 3201,5p,MC - Henze-Zirkler,138.91593268831375,0.0,False
ngc 3201,3p,MC - Henze-Zirkler,579.4167659767621,0.0,False
ngc 3201,5p_color,MC - Henze-Zirkler,422.12728469194457,0.0,False
ngc 3201,7p,MC - Henze-Zirkler,124.2599630349023,0.0,False
ngc 4147,5p,Henze-Zirkler,2.89732042782842,8.65210216139961e-52,False
ngc 4147,3p,Henze-Zirkler,12.344330593168053,1.8713574919401336e-47,False
ngc 4147,5p_color,Henze-Zirkler,5.471110735124965,8.517902194184213e-116,False
ngc 4147,7p,Henze-Zirkler,1.930666097117985,1.1539119152345198e-83,False
ngc 4372,5p,MC - Henze-Zirkler,100.55127611355607,0.0,False
ngc 4372,3p,MC - Henze-Zirkler,208.38624347204012,0.0,False
ngc 4372,5p_color,MC - Henze-Zirkler,167.18361283204308,0.0,False
ngc 4372,7p,MC - Henze-Zirkler,79.82540680519331,0.0,False
rup 106,5p,Henze-Zirkler,22.610230238534047,0.0,False
rup 106,3p,Henze-Zirkler,89.83102920602957,2.3786738933772648e-235,False
rup 106,5p_color,Henze-Zirkler,80.77546064208231,0.0,False
rup 106,7p,Henze-Zirkler,21.801621043091334,0.0,False
ngc 4590,5p,Henze-Zirkler,192.72949392469133,0.0,False
ngc 4590,3p,Henze-Zirkler,663.0649009818617,0.0,False
ngc 4590,5p_color,Henze-Zirkler,415.90417593630923,0.0,False
ngc 4590,7p,Henze-Zirkler,141.92505405863443,0.0,False
ngc 4833,5p,MC - Henze-Zirkler,63.206423680789285,0.0,False
ngc 4833,3p,MC - Henze-Zirkler,225.3158628454114,0.0,False
ngc 4833,5p_color,MC - Henze-Zirkler,201.4684760716725,0.0,False
ngc 4833,7p,MC - Henze-Zirkler,55.69531782930735,0.0,False
ngc 5024,5p,Henze-Zirkler,151.38279076465471,0.0,False
ngc 5024,3p,Henze-Zirkler,733.2137562290893,0.0,False
ngc 5024,5p_color,Henze-Zirkler,444.78098945005314,0.0,False
ngc 5024,7p,Henze-Zirkler,113.28065362418332,0.0,False
ngc 5053,5p,Henze-Zirkler,51.01100581693937,0.0,False
ngc 5053,3p,Henze-Zirkler,173.21055557772073,7.956785775888586e-241,False
ngc 5053,5p_color,Henze-Zirkler,102.74817814260763,0.0,False
ngc 5053,7p,Henze-Zirkler,36.583873119007094,0.0,False
ngc 5139,5p,MC - Henze-Zirkler,236.03375111376548,0.0,False
ngc 5139,3p,MC - Henze-Zirkler,1069.8124268322945,0.0,False
ngc 5139,5p_color,MC - Henze-Zirkler,613.6284222694405,0.0,False
ngc 5139,7p,MC - Henze-Zirkler,167.55659196537553,0.0,False
ngc 5272,5p,MC - Henze-Zirkler,223.45884160326935,0.0,False
ngc 5272,3p,MC - Henze-Zirkler,1585.9697886216784,0.0,False
ngc 5272,5p_color,MC - Henze-Zirkler,919.2364359248714,0.0,False
ngc 5272,7p,MC - Henze-Zirkler,170.4086531612802,0.0,False
ngc 5286,5p,Henze-Zirkler,64.08752858983377,0.0,False
ngc 5286,3p,Henze-Zirkler,182.85501514140822,0.0,False
ngc 5286,5p_color,Henze-Zirkler,141.88051144432526,0.0,False
ngc 5286,7p,Henze-Zirkler,48.318153180218545,0.0,False
ngc 5466,5p,Henze-Zirkler,119.8648627707343,0.0,False
ngc 5466,3p,Henze-Zirkler,448.6594003854072,0.0,False
ngc 5466,5p_color,Henze-Zirkler,234.60376761567673,0.0,False
ngc 5466,7p,Henze-Zirkler,77.70699340784564,0.0,False
ngc 5634,5p,Henze-Zirkler,115.09145034434945,0.0,False
ngc 5634,3p,Henze-Zirkler,190.45328631775504,7.793568244492658e-283,False
ngc 5634,5p_color,Henze-Zirkler,102.15272530243082,0.0,False
ngc 5634,7p,Henze-Zirkler,60.556346809504895,0.0,False
ngc 5694,5p,Henze-Zirkler,25.4497244460775,0.0,False
ngc 5694,3p,Henze-Zirkler,54.31482263015222,1.1809843532203456e-125,False
ngc 5694,5p_color,Henze-Zirkler,39.723823048512024,0.0,False
ngc 5694,7p,Henze-Zirkler,19.25508340116252,0.0,False
ic 4499,5p,Henze-Zirkler,78.97879909356499,0.0,False
ic 4499,3p,Henze-Zirkler,156.8166541189215,0.0,False
ic 4499,5p_color,Henze-Zirkler,125.52396736228805,0.0,False
ic 4499,7p,Henze-Zirkler,57.546960837983164,0.0,False
ngc 5824,5p,Henze-Zirkler,14.181229852966801,0.0,False
ngc 5824,3p,Henze-Zirkler,91.2340525851325,2.3238065690123733e-192,False
ngc 5824,5p_color,Henze-Zirkler,40.02943743783943,0.0,False
ngc 5824,7p,Henze-Zirkler,9.293128434432663,0.0,False
pal 5,5p,Henze-Zirkler,10.263557122406237,3.4519689573673814e-292,False
pal 5,3p,Henze-Zirkler,35.700726224114824,2.5853261298101946e-109,False
pal 5,5p_color,Henze-Zirkler,28.701689652933496,0.0,False
pal 5,7p,Henze-Zirkler,9.158188213486627,0.0,False
ngc 5897,5p,Henze-Zirkler,197.25349822176693,0.0,False
ngc 5897,3p,Henze-Zirkler,383.1759740302794,0.0,False
ngc 5897,5p_color,Henze-Zirkler,304.5633766100887,0.0,False
ngc 5897,7p,Henze-Zirkler,141.25022693832804,0.0,False
ngc 5904,5p,MC - Henze-Zirkler,230.2200398703492,0.0,False
ngc 5904,3p,MC - Henze-Zirkler,1455.6908137379887,0.0,False
ngc 5904,5p_color,MC - Henze-Zirkler,891.5986082556086,0.0,False
ngc 5904,7p,MC - Henze-Zirkler,182.18825269608567,0.0,False
ngc 5927,5p,MC - Henze-Zirkler,21.743546992031273,0.0,False
ngc 5927,3p,MC - Henze-Zirkler,104.99054645912483,0.0,False
ngc 5927,5p_color,MC - Henze-Zirkler,119.31733876690261,0.0,False
ngc 5927,7p,MC - Henze-Zirkler,27.708911898640444,0.0,False
ngc 5946,5p,MC - Henze-Zirkler,19.04465357224641,0.0,False
ngc 5946,3p,MC - Henze-Zirkler,80.39417497350333,0.0,False
ngc 5946,5p_color,MC - Henze-Zirkler,104.7439392579147,0.0,False
ngc 5946,7p,MC - Henze-Zirkler,23.580204996287318,0.0,False
ngc 5986,5p,Henze-Zirkler,72.33347675241986,0.0,False
ngc 5986,3p,Henze-Zirkler,225.93179759350528,0.0,False
ngc 5986,5p_color,Henze-Zirkler,180.2429002774536,0.0,False
ngc 5986,7p,Henze-Zirkler,55.99395026453615,0.0,False
lynga 7,5p,Henze-Zirkler,7.408165843242668,0.0,False
