g, c, u0
 4.00,1.00,17.999874
 4.00,1.01,17.757703
 4.00,1.02,17.515657
 4.00,1.03,17.273862
 4.00,1.04,17.032444
 4.00,1.05,16.791529
 4.00,1.06,16.551241
 4.00,1.07,16.311707
 4.00,1.08,16.073053
 4.00,1.09,15.835404
 4.00,1.10,15.598885
 4.00,1.11,15.363623
 4.00,1.12,15.129742
 4.00,1.13,14.897369
 4.00,1.14,14.666629
 4.00,1.15,14.437648
 4.00,1.16,14.210550
 4.00,1.17,13.985463
 4.00,1.18,13.762511
 4.00,1.19,13.541821
 4.00,1.20,13.323517
 4.00,1.21,13.107726
 4.00,1.22,12.894574
 4.00,1.23,12.684184
 4.00,1.24,12.476685
 4.00,1.25,12.272200
 4.00,1.26,12.070856
 4.00,1.27,11.872779
 4.00,1.28,11.678094
 4.00,1.29,11.486926
 4.00,1.30,11.299402
 4.00,1.31,11.115746
 4.00,1.32,10.936585
 4.00,1.33,10.762644
 4.00,1.34,10.594648
 4.00,1.35,10.433322
 4.00,1.36,10.279392
 4.00,1.37,10.133582
 4.00,1.38, 9.996617
 4.00,1.39, 9.869222
 4.00,1.40, 9.752120
 4.00,1.41, 9.646035
 4.00,1.42, 9.551691
 4.00,1.43, 9.469814
 4.00,1.44, 9.401126
 4.00,1.45, 9.346187
 4.00,1.46, 9.304880
 4.00,1.47, 9.276923
 4.00,1.48, 9.262035
 4.00,1.49, 9.259933
 4.00,1.50, 9.270333
 4.00,1.51, 9.292955
 4.00,1.52, 9.327516
 4.00,1.53, 9.373733
 4.00,1.54, 9.431326
 4.00,1.55, 9.500011
 4.00,1.56, 9.579507
 4.00,1.57, 9.669531
 4.00,1.58, 9.769801
 4.00,1.59, 9.880036
 4.00,1.60, 9.999953
 4.00,1.61,10.129277
 4.00,1.62,10.267766
 4.00,1.63,10.415185
 4.00,1.64,10.571299
 4.00,1.65,10.735873
 4.00,1.66,10.908672
 4.00,1.67,11.089461
 4.00,1.68,11.278004
 4.00,1.69,11.474068
 4.00,1.70,11.677416
 4.00,1.71,11.887814
 4.00,1.72,12.105028
