g, c, u0
 4.00,1.73,12.328820
 4.00,1.74,12.558958
 4.00,1.75,12.795207
 4.00,1.76,13.037329
 4.00,1.77,13.285092
 4.00,1.78,13.538260
 4.00,1.79,13.796597
 4.00,1.80,14.059870
 4.00,1.81,14.327842
 4.00,1.82,14.600280
 4.00,1.83,14.876947
 4.00,1.84,15.157610
 4.00,1.85,15.442032
 4.00,1.86,15.729979
 4.00,1.87,16.021217
 4.00,1.88,16.315509
 4.00,1.89,16.612621
 4.00,1.90,16.912318
 4.00,1.91,17.214365
 4.00,1.92,17.518527
 4.00,1.93,17.824568
 4.00,1.94,18.132256
 4.00,1.95,18.441352
 4.00,1.96,18.751624
 4.00,1.97,19.062836
 4.00,1.98,19.374753
 4.00,1.99,19.687140
 4.00,2.00,19.999762
 4.02,1.00,17.899876
 4.02,1.01,17.658667
 4.02,1.02,17.417580
 4.02,1.03,17.176742
 4.02,1.04,16.936273
 4.02,1.05,16.696300
 4.02,1.06,16.456945
 4.02,1.07,16.218331
 4.02,1.08,15.980584
 4.02,1.09,15.743825
 4.02,1.10,15.508180
 4.02,1.11,15.273771
 4.02,1.12,15.040722
 4.02,1.13,14.809157
 4.02,1.14,14.579199
 4.02,1.15,14.350973
 4.02,1.16,14.124601
 4.02,1.17,13.900207
 4.02,1.18,13.677916
 4.02,1.19,13.457850
 4.02,1.20,13.240134
 4.02,1.21,13.024891
 4.02,1.22,12.812245
 4.02,1.23,12.602318
 4.02,1.24,12.395236
 4.02,1.25,12.191121
 4.02,1.26,11.990097
 4.02,1.27,11.792289
 4.02,1.28,11.597819
 4.02,1.29,11.406811
 4.02,1.30,11.219388
 4.02,1.31,11.035778
 4.02,1.32,10.856612
 4.02,1.33,10.682627
 4.02,1.34,10.514559
 4.02,1.35,10.353143
 4.02,1.36,10.199115
 4.02,1.37,10.053210
 4.02,1.38, 9.916164
 4.02,1.39, 9.788711
 4.02,1.40, 9.671586
 4.02,1.41, 9.565525
 4.02,1.42, 9.471261
 4.02,1.43, 9.389532
 4.02,1.44, 9.321070
 4.02,1.45, 9.266442
 4.02,1.46, 9.225524
 4.02,1.47, 9.198023
 4.02,1.48, 9.183646
 4.02,1.49, 9.182098
 4.02,1.50, 9.193087
 4.02,1.51, 9.216320
 4.02,1.52, 9.251501
 4.02,1.53, 9.298339
 4.02,1.54, 9.356540
 4.02,1.55, 9.425811
 4.02,1.56, 9.505858
 4.02,1.57, 9.596387
 4.02,1.58, 9.697106
 4.02,1.59, 9.807721
 4.02,1.60, 9.927939
 4.02,1.61,10.057476
 4.02,1.62,10.196090
 4.02,1.63,10.343548
 4.02,1.64,10.499617
 4.02,1.65,10.664064
 4.02,1.66,10.836657
 4.02,1.67,11.017163
 4.02,1.68,11.205349
 4.02,1.69,11.400983
 4.02,1.70,11.603831
 4.02,1.71,11.813661
 4.02,1.72,12.030240
 4.02,1.73,12.253336
 4.02,1.74,12.482716
 4.02,1.75,12.718147
 4.02,1.76,12.959396
 4.02,1.77,13.206230
 4.02,1.78,13.458418
 4.02,1.79,13.715725
 4.02,1.80,13.977921
 4.02,1.81,14.244770
 4.02,1.82,14.516042
 4.02,1.83,14.791503
 4.02,1.84,15.070920
 4.02,1.85,15.354061
 4.02,1.86,15.640693
 4.02,1.87,15.930584
 4.02,1.88,16.223499
 4.02,1.89,16.519208
 4.02,1.90,16.817476
 4.02,1.91,17.118072
 4.02,1.92,17.420763
 4.02,1.93,17.725315
 4.02,1.94,18.031497
 4.02,1.95,18.339075
 4.02,1.96,18.647816
 4.02,1.97,18.957489
 4.02,1.98,19.267859
 4.02,1.99,19.578695
 4.02,2.00,19.889764
 4.04,1.00,17.799878
 4.04,1.01,17.559630
 4.04,1.02,17.319504
 4.04,1.03,17.079621
 4.04,1.04,16.840103
 4.04,1.05,16.601072
 4.04,1.06,16.362649
 4.04,1.07,16.124956
 4.04,1.08,15.888115
 4.04,1.09,15.652247
 4.04,1.10,15.417475
 4.04,1.11,15.183919
 4.04,1.12,14.951702
 4.04,1.13,14.720945
 4.04,1.14,14.491769
 4.04,1.15,14.264298
 4.04,1.16,14.038651
 4.04,1.17,13.814952
 4.04,1.18,13.593321
 4.04,1.19,13.373880
 4.04,1.20,13.156751
 4.04,1.21,12.942055
 4.04,1.22,12.729915
 4.04,1.23,12.520452
 4.04,1.24,12.313787
 4.04,1.25,12.110042
 4.04,1.26,11.909339
 4.04,1.27,11.711799
 4.04,1.28,11.517544
 4.04,1.29,11.326695
 4.04,1.30,11.139375
 4.04,1.31,10.955809
 4.04,1.32,10.776639
 4.04,1.33,10.602611
 4.04,1.34,10.434470
 4.04,1.35,10.272964
 4.04,1.36,10.118838
 4.04,1.37, 9.972838
 4.04,1.38, 9.835710
 4.04,1.39, 9.708199
 4.04,1.40, 9.591052
 4.04,1.41, 9.485014
 4.04,1.42, 9.390831
 4.04,1.43, 9.309249
 4.04,1.44, 9.241013
 4.04,1.45, 9.186696
 4.04,1.46, 9.146167
 4.04,1.47, 9.119121
 4.04,1.48, 9.105255
 4.04,1.49, 9.104263
 4.04,1.50, 9.115840
 4.04,1.51, 9.139683
 4.04,1.52, 9.175486
 4.04,1.53, 9.222944
 4.04,1.54, 9.281754
 4.04,1.55, 9.351610
 4.04,1.56, 9.432208
 4.04,1.57, 9.523243
 4.04,1.58, 9.624411
 4.04,1.59, 9.735407
 4.04,1.60, 9.855926
 4.04,1.61, 9.985676
 4.04,1.62,10.124415
 4.04,1.63,10.271911
 4.04,1.64,10.427935
 4.04,1.65,10.592256
 4.04,1.66,10.764643
 4.04,1.67,10.944866
 4.04,1.68,11.132694
 4.04,1.69,11.327898
 4.04,1.70,11.530246
 4.04,1.71,11.739508
 4.04,1.72,11.955454
 4.04,1.73,12.177852
 4.04,1.74,12.406474
 4.04,1.75,12.641088
 4.04,1.76,12.881463
 4.04,1.77,13.127369
 4.04,1.78,13.378577
 4.04,1.79,13.634854
 4.04,1.80,13.895972
 4.04,1.81,14.161699
 4.04,1.82,14.431805
 4.04,1.83,14.706059
 4.04,1.84,14.984231
 4.04,1.85,15.266091
 4.04,1.86,15.551408
 4.04,1.87,15.839951
 4.04,1.88,16.131490
 4.04,1.89,16.425795
 4.04,1.90,16.722635
 4.04,1.91,17.021780
 4.04,1.92,17.322999
 4.04,1.93,17.626062
 4.04,1.94,17.930738
 4.04,1.95,18.236797
 4.04,1.96,18.544008
 4.04,1.97,18.852141
 4.04,1.98,19.160966
 4.04,1.99,19.470251
 4.04,2.00,19.779767
 4.06,1.00,17.699880
 4.06,1.01,17.460594
 4.06,1.02,17.221427
 4.06,1.03,16.982500
 4.06,1.04,16.743932
 4.06,1.05,16.505843
 4.06,1.06,16.268352
 4.06,1.07,16.031580
 4.06,1.08,15.795645
 4.06,1.09,15.560668
 4.06,1.10,15.326769
 4.06,1.11,15.094067
 4.06,1.12,14.862682
 4.06,1.13,14.632732
 4.06,1.14,14.404340
 4.06,1.15,14.177623
 4.06,1.16,13.952702
 4.06,1.17,13.729696
 4.06,1.18,13.508725
 4.06,1.19,13.289909
 4.06,1.20,13.073368
 4.06,1.21,12.859220
 4.06,1.22,12.647586
 4.06,1.23,12.438586
 4.06,1.24,12.232338
 4.06,1.25,12.028963
 4.06,1.26,11.828580
 4.06,1.27,11.631309
 4.06,1.28,11.437269
 4.06,1.29,11.246580
 4.06,1.30,11.059362
 4.06,1.31,10.875840
 4.06,1.32,10.696666
 4.06,1.33,10.522594
 4.06,1.34,10.354381
 4.06,1.35,10.192785
 4.06,1.36,10.038561
 4.06,1.37, 9.892465
 4.06,1.38, 9.755255
 4.06,1.39, 9.627686
 4.06,1.40, 9.510516
 4.06,1.41, 9.404502
 4.06,1.42, 9.310398
 4.06,1.43, 9.228964
 4.06,1.44, 9.160954
 4.06,1.45, 9.106948
 4.06,1.46, 9.066807
 4.06,1.47, 9.040217
 4.06,1.48, 9.026862
 4.06,1.49, 9.026425
 4.06,1.50, 9.038591
 4.06,1.51, 9.063045
 4.06,1.52, 9.099468
 4.06,1.53, 9.147548
 4.06,1.54, 9.206966
 4.06,1.55, 9.277408
 4.06,1.56, 9.358557
 4.06,1.57, 9.450098
 4.06,1.58, 9.551715
 4.06,1.59, 9.663092
 4.06,1.60, 9.783913
 4.06,1.61, 9.913876
 4.06,1.62,10.052740
 4.06,1.63,10.200275
 4.06,1.64,10.356254
 4.06,1.65,10.520448
 4.06,1.66,10.692629
 4.06,1.67,10.872570
 4.06,1.68,11.060041
 4.06,1.69,11.254815
 4.06,1.70,11.456663
 4.06,1.71,11.665357
 4.06,1.72,11.880669
 4.06,1.73,12.102370
 4.06,1.74,12.330234
 4.06,1.75,12.564030
 4.06,1.76,12.803532
 4.06,1.77,13.048510
 4.06,1.78,13.298737
 4.06,1.79,13.553985
 4.06,1.80,13.814025
 4.06,1.81,14.078629
 4.06,1.82,14.347569
 4.06,1.83,14.620617
 4.06,1.84,14.897544
 4.06,1.85,15.178122
 4.06,1.86,15.462124
 4.06,1.87,15.749320
 4.06,1.88,16.039483
 4.06,1.89,16.332384
 4.06,1.90,16.627795
 4.06,1.91,16.925489
 4.06,1.92,17.225237
 4.06,1.93,17.526809
 4.06,1.94,17.829980
 4.06,1.95,18.134520
 4.06,1.96,18.440201
 4.06,1.97,18.746794
 4.06,1.98,19.054072
 4.06,1.99,19.361807
 4.06,2.00,19.669770
 4.08,1.00,17.599882
 4.08,1.01,17.361558
 4.08,1.02,17.123351
 4.08,1.03,16.885380
 4.08,1.04,16.647761
 4.08,1.05,16.410614
 4.08,1.06,16.174056
 4.08,1.07,15.938204
 4.08,1.08,15.703176
 4.08,1.09,15.469090
 4.08,1.10,15.236064
 4.08,1.11,15.004215
 4.08,1.12,14.773661
 4.08,1.13,14.544520
 4.08,1.14,14.316910
 4.08,1.15,14.090948
 4.08,1.16,13.866752
 4.08,1.17,13.644440
 4.08,1.18,13.424129
 4.08,1.19,13.205938
 4.08,1.20,12.989984
 4.08,1.21,12.776384
 4.08,1.22,12.565257
 4.08,1.23,12.356719
 4.08,1.24,12.150889
 4.08,1.25,11.947883
 4.08,1.26,11.747821
 4.08,1.27,11.550818
 4.08,1.28,11.356993
 4.08,1.29,11.166465
 4.08,1.30,10.979349
 4.08,1.31,10.795872
 4.08,1.32,10.616692
 4.08,1.33,10.442577
 4.08,1.34,10.274292
 4.08,1.35,10.112606
 4.08,1.36, 9.958283
 4.08,1.37, 9.812092
 4.08,1.38, 9.674799
 4.08,1.39, 9.547172
 4.08,1.40, 9.429979
 4.08,1.41, 9.323987
 4.08,1.42, 9.229963
 4.08,1.43, 9.148676
 4.08,1.44, 9.080892
 4.08,1.45, 9.027196
 4.08,1.46, 8.987444
 4.08,1.47, 8.961310
 4.08,1.48, 8.948465
 4.08,1.49, 8.948584
 4.08,1.50, 8.961339
 4.08,1.51, 8.986403
 4.08,1.52, 9.023448
 4.08,1.53, 9.072148
 4.08,1.54, 9.132176
 4.08,1.55, 9.203204
 4.08,1.56, 9.284905
 4.08,1.57, 9.376952
 4.08,1.58, 9.479018
 4.08,1.59, 9.590776
 4.08,1.60, 9.711899
 4.08,1.61, 9.842076
 4.08,1.62, 9.981065
 4.08,1.63,10.128640
 4.08,1.64,10.284574
 4.08,1.65,10.448642
 4.08,1.66,10.620618
 4.08,1.67,10.800276
 4.08,1.68,10.987390
 4.08,1.69,11.181734
 4.08,1.70,11.383082
 4.08,1.71,11.591208
 4.08,1.72,11.805886
 4.08,1.73,12.026891
 4.08,1.74,12.253996
 4.08,1.75,12.486975
 4.08,1.76,12.725603
 4.08,1.77,12.969654
 4.08,1.78,13.218901
 4.08,1.79,13.473118
 4.08,1.80,13.732080
 4.08,1.81,13.995562
 4.08,1.82,14.263336
 4.08,1.83,14.535177
 4.08,1.84,14.810858
 4.08,1.85,15.090155
 4.08,1.86,15.372841
 4.08,1.87,15.658691
 4.08,1.88,15.947477
 4.08,1.89,16.238974
 4.08,1.90,16.532957
 4.08,1.91,16.829199
 4.08,1.92,17.127475
 4.08,1.93,17.427558
 4.08,1.94,17.729223
 4.08,1.95,18.032244
 4.08,1.96,18.336394
 4.08,1.97,18.641448
 4.08,1.98,18.947179
 4.08,1.99,19.253363
 4.08,2.00,19.559772
 4.10,1.00,17.499884
 4.10,1.01,17.262522
 4.10,1.02,17.025274
 4.10,1.03,16.788259
 4.10,1.04,16.551591
 4.10,1.05,16.315385
 4.10,1.06,16.079759
 4.10,1.07,15.844827
 4.10,1.08,15.610706
 4.10,1.09,15.377511
 4.10,1.10,15.145358
 4.10,1.11,14.914362
 4.10,1.12,14.684640
 4.10,1.13,14.456307
 4.10,1.14,14.229479
 4.10,1.15,14.004272
 4.10,1.16,13.780802
 4.10,1.17,13.559183
 4.10,1.18,13.339533
 4.10,1.19,13.121967
 4.10,1.20,12.906600
 4.10,1.21,12.693548
 4.10,1.22,12.482927
 4.10,1.23,12.274852
 4.10,1.24,12.069439
 4.10,1.25,11.866804
 4.10,1.26,11.667061
 4.10,1.27,11.470328
 4.10,1.28,11.276718
 4.10,1.29,11.086349
 4.10,1.30,10.899335
 4.10,1.31,10.715903
 4.10,1.32,10.536719
 4.10,1.33,10.362561
 4.10,1.34,10.194204
 4.10,1.35,10.032427
 4.10,1.36, 9.878005
 4.10,1.37, 9.731718
 4.10,1.38, 9.594342
 4.10,1.39, 9.466657
 4.10,1.40, 9.349440
 4.10,1.41, 9.243471
 4.10,1.42, 9.149526
 4.10,1.43, 9.068386
 4.10,1.44, 9.000827
 4.10,1.45, 8.947442
 4.10,1.46, 8.908078
 4.10,1.47, 8.882399
 4.10,1.48, 8.870065
 4.10,1.49, 8.870740
 4.10,1.50, 8.884083
 4.10,1.51, 8.909758
 4.10,1.52, 8.947425
 4.10,1.53, 8.996747
 4.10,1.54, 9.057384
 4.10,1.55, 9.128998
 4.10,1.56, 9.211251
 4.10,1.57, 9.303805
 4.10,1.58, 9.406321
 4.10,1.59, 9.518461
 4.10,1.60, 9.639886
 4.10,1.61, 9.770277
 4.10,1.62, 9.909391
 4.10,1.63,10.057005
 4.10,1.64,10.212895
 4.10,1.65,10.376837
 4.10,1.66,10.548608
 4.10,1.67,10.727983
 4.10,1.68,10.914740
 4.10,1.69,11.108655
 4.10,1.70,11.309503
 4.10,1.71,11.517061
 4.10,1.72,11.731106
 4.10,1.73,11.951414
 4.10,1.74,12.177761
 4.10,1.75,12.409923
 4.10,1.76,12.647677
 4.10,1.77,12.890799
 4.10,1.78,13.139066
 4.10,1.79,13.392254
 4.10,1.80,13.650139
 4.10,1.81,13.912497
 4.10,1.82,14.179105
 4.10,1.83,14.449739
 4.10,1.84,14.724176
 4.10,1.85,15.002191
 4.10,1.86,15.283561
 4.10,1.87,15.568063
 4.10,1.88,15.855473
 4.10,1.89,16.145566
 4.10,1.90,16.438120
 4.10,1.91,16.732911
 4.10,1.92,17.029715
 4.10,1.93,17.328308
 4.10,1.94,17.628467
 4.10,1.95,17.929968
 4.10,1.96,18.232588
 4.10,1.97,18.536102
 4.10,1.98,18.840287
 4.10,1.99,19.144919
 4.10,2.00,19.449775
 4.12,1.00,17.399886
 4.12,1.01,17.163485
 4.12,1.02,16.927198
 4.12,1.03,16.691138
 4.12,1.04,16.455419
 4.12,1.05,16.220156
 4.12,1.06,15.985462
 4.12,1.07,15.751451
 4.12,1.08,15.518236
 4.12,1.09,15.285931
 4.12,1.10,15.054651
 4.12,1.11,14.824509
 4.12,1.12,14.595618
 4.12,1.13,14.368094
 4.12,1.14,14.142048
 4.12,1.15,13.917596
 4.12,1.16,13.694851
 4.12,1.17,13.473926
 4.12,1.18,13.254936
 4.12,1.19,13.037995
 4.12,1.20,12.823215
 4.12,1.21,12.610711
 4.12,1.22,12.400596
 4.12,1.23,12.192985
 4.12,1.24,11.987989
 4.12,1.25,11.785723
 4.12,1.26,11.586301
 4.12,1.27,11.389836
 4.12,1.28,11.196442
 4.12,1.29,11.006233
 4.12,1.30,10.819322
 4.12,1.31,10.635935
 4.12,1.32,10.456747
 4.12,1.33,10.282545
 4.12,1.34,10.114116
 4.12,1.35, 9.952249
 4.12,1.36, 9.797729
 4.12,1.37, 9.651345
 4.12,1.38, 9.513887
 4.12,1.39, 9.386142
 4.12,1.40, 9.268901
 4.12,1.41, 9.162954
 4.12,1.42, 9.069088
 4.12,1.43, 8.988094
 4.12,1.44, 8.920760
 4.12,1.45, 8.867685
 4.12,1.46, 8.828710
 4.12,1.47, 8.803486
 4.12,1.48, 8.791663
 4.12,1.49, 8.792893
 4.12,1.50, 8.806826
 4.12,1.51, 8.833111
 4.12,1.52, 8.871400
 4.12,1.53, 8.921343
 4.12,1.54, 8.982590
 4.12,1.55, 9.054791
 4.12,1.56, 9.137596
 4.12,1.57, 9.230657
 4.12,1.58, 9.333623
 4.12,1.59, 9.446145
 4.12,1.60, 9.567872
 4.12,1.61, 9.698477
 4.12,1.62, 9.837718
 4.12,1.63, 9.985371
 4.12,1.64,10.141217
 4.12,1.65,10.305033
 4.12,1.66,10.476599
 4.12,1.67,10.655692
 4.12,1.68,10.842092
 4.12,1.69,11.035577
 4.12,1.70,11.235925
 4.12,1.71,11.442916
 4.12,1.72,11.656327
 4.12,1.73,11.875938
 4.12,1.74,12.101527
 4.12,1.75,12.332872
 4.12,1.76,12.569753
 4.12,1.77,12.811947
 4.12,1.78,13.059234
 4.12,1.79,13.311391
 4.12,1.80,13.568198
 4.12,1.81,13.829434
 4.12,1.82,14.094876
 4.12,1.83,14.364303
 4.12,1.84,14.637494
 4.12,1.85,14.914228
 4.12,1.86,15.194283
 4.12,1.87,15.477437
 4.12,1.88,15.763470
 4.12,1.89,16.052160
 4.12,1.90,16.343285
 4.12,1.91,16.636624
 4.12,1.92,16.931956
 4.12,1.93,17.229059
 4.12,1.94,17.527712
 4.12,1.95,17.827693
 4.12,1.96,18.128782
 4.12,1.97,18.430756
 4.12,1.98,18.733394
 4.12,1.99,19.036475
 4.12,2.00,19.339778
 4.14,1.00,17.299888
 4.14,1.01,17.064449
 4.14,1.02,16.829121
 4.14,1.03,16.594017
 4.14,1.04,16.359248
 4.14,1.05,16.124927
 4.14,1.06,15.891164
 4.14,1.07,15.658073
 4.14,1.08,15.425765
 4.14,1.09,15.194351
 4.14,1.10,14.963944
 4.14,1.11,14.734655
 4.14,1.12,14.506596
 4.14,1.13,14.279879
 4.14,1.14,14.054616
 4.14,1.15,13.830918
 4.14,1.16,13.608898
 4.14,1.17,13.388667
 4.14,1.18,13.170337
 4.14,1.19,12.954021
 4.14,1.20,12.739828
 4.14,1.21,12.527872
 4.14,1.22,12.318264
 4.14,1.23,12.111115
 4.14,1.24,11.906537
 4.14,1.25,11.704641
 4.14,1.26,11.505540
 4.14,1.27,11.309344
 4.14,1.28,11.116166
 4.14,1.29,10.926117
 4.14,1.30,10.739309
 4.14,1.31,10.555967
 4.14,1.32,10.376775
 4.14,1.33,10.202531
 4.14,1.34,10.034031
 4.14,1.35, 9.872073
 4.14,1.36, 9.717455
 4.14,1.37, 9.570976
 4.14,1.38, 9.433434
 4.14,1.39, 9.305630
 4.14,1.40, 9.188366
 4.14,1.41, 9.082440
 4.14,1.42, 8.988653
 4.14,1.43, 8.907805
 4.14,1.44, 8.840696
 4.14,1.45, 8.787932
 4.14,1.46, 8.749345
 4.14,1.47, 8.724576
 4.14,1.48, 8.713263
 4.14,1.49, 8.715048
 4.14,1.50, 8.729570
 4.14,1.51, 8.756466
 4.14,1.52, 8.795377
 4.14,1.53, 8.845941
 4.14,1.54, 8.907797
 4.14,1.55, 8.980584
 4.14,1.56, 9.063942
 4.14,1.57, 9.157510
 4.14,1.58, 9.260925
 4.14,1.59, 9.373829
 4.14,1.60, 9.495859
 4.14,1.61, 9.626678
 4.14,1.62, 9.766044
 4.14,1.63, 9.913737
 4.14,1.64,10.069539
 4.14,1.65,10.233229
 4.14,1.66,10.404589
 4.14,1.67,10.583401
 4.14,1.68,10.769443
 4.14,1.69,10.962499
 4.14,1.70,11.162347
 4.14,1.71,11.368770
 4.14,1.72,11.581548
 4.14,1.73,11.800462
 4.14,1.74,12.025293
 4.14,1.75,12.255821
 4.14,1.76,12.491828
 4.14,1.77,12.733094
 4.14,1.78,12.979400
 4.14,1.79,13.230528
 4.14,1.80,13.486257
 4.14,1.81,13.746370
 4.14,1.82,14.010646
 4.14,1.83,14.278866
 4.14,1.84,14.550812
 4.14,1.85,14.826264
 4.14,1.86,15.105004
 4.14,1.87,15.386811
 4.14,1.88,15.671467
 4.14,1.89,15.958752
 4.14,1.90,16.248449
 4.14,1.91,16.540336
 4.14,1.92,16.834196
 4.14,1.93,17.129809
 4.14,1.94,17.426956
 4.14,1.95,17.725418
 4.14,1.96,18.024976
 4.14,1.97,18.325410
 4.14,1.98,18.626502
 4.14,1.99,18.928031
 4.14,2.00,19.229781
 4.16,1.00,17.199890
 4.16,1.01,16.965412
 4.16,1.02,16.731044
 4.16,1.03,16.496895
 4.16,1.04,16.263076
 4.16,1.05,16.029696
 4.16,1.06,15.796866
 4.16,1.07,15.564695
 4.16,1.08,15.333292
 4.16,1.09,15.102769
 4.16,1.10,14.873235
 4.16,1.11,14.644799
 4.16,1.12,14.417571
 4.16,1.13,14.191662
 4.16,1.14,13.967181
 4.16,1.15,13.744238
 4.16,1.16,13.522943
 4.16,1.17,13.303406
 4.16,1.18,13.085736
 4.16,1.19,12.870044
 4.16,1.20,12.656439
 4.16,1.21,12.445031
 4.16,1.22,12.235929
 4.16,1.23,12.029243
 4.16,1.24,11.825083
 4.16,1.25,11.623557
 4.16,1.26,11.424777
 4.16,1.27,11.228851
 4.16,1.28,11.035889
 4.16,1.29,10.846001
 4.16,1.30,10.659296
 4.16,1.31,10.476000
 4.16,1.32,10.296806
 4.16,1.33,10.122519
 4.16,1.34, 9.953949
 4.16,1.35, 9.791902
 4.16,1.36, 9.637187
 4.16,1.37, 9.490612
 4.16,1.38, 9.352988
 4.16,1.39, 9.225126
 4.16,1.40, 9.107838
 4.16,1.41, 9.001934
 4.16,1.42, 8.908226
 4.16,1.43, 8.827526
 4.16,1.44, 8.760642
 4.16,1.45, 8.708188
 4.16,1.46, 8.669989
 4.16,1.47, 8.645674
 4.16,1.48, 8.634872
 4.16,1.49, 8.637212
 4.16,1.50, 8.652321
 4.16,1.51, 8.679827
 4.16,1.52, 8.719359
 4.16,1.53, 8.770543
 4.16,1.54, 8.833008
 4.16,1.55, 8.906382
 4.16,1.56, 8.990291
 4.16,1.57, 9.084364
 4.16,1.58, 9.188229
 4.16,1.59, 9.301514
 4.16,1.60, 9.423846
 4.16,1.61, 9.554878
 4.16,1.62, 9.694369
 4.16,1.63, 9.842101
 4.16,1.64, 9.997858
 4.16,1.65,10.161422
 4.16,1.66,10.332576
 4.16,1.67,10.511105
 4.16,1.68,10.696790
 4.16,1.69,10.889416
 4.16,1.70,11.088764
 4.16,1.71,11.294619
 4.16,1.72,11.506764
 4.16,1.73,11.724980
 4.16,1.74,11.949053
 4.16,1.75,12.178764
 4.16,1.76,12.413898
 4.16,1.77,12.654235
 4.16,1.78,12.899562
 4.16,1.79,13.149659
 4.16,1.80,13.404311
 4.16,1.81,13.663300
 4.16,1.82,13.926411
 4.16,1.83,14.193424
 4.16,1.84,14.464125
 4.16,1.85,14.738296
 4.16,1.86,15.015720
 4.16,1.87,15.296180
 4.16,1.88,15.579459
 4.16,1.89,15.865342
 4.16,1.90,16.153609
 4.16,1.91,16.444046
 4.16,1.92,16.736434
 4.16,1.93,17.030557
 4.16,1.94,17.326199
 4.16,1.95,17.623141
 4.16,1.96,17.921169
 4.16,1.97,18.220063
 4.16,1.98,18.519608
 4.16,1.99,18.819587
 4.16,2.00,19.119783
 4.18,1.00,17.099892
 4.18,1.01,16.866375
 4.18,1.02,16.632966
 4.18,1.03,16.399772
 4.18,1.04,16.166903
 4.18,1.05,15.934465
 4.18,1.06,15.702566
 4.18,1.07,15.471315
 4.18,1.08,15.240819
 4.18,1.09,15.011186
 4.18,1.10,14.782524
 4.18,1.11,14.554941
 4.18,1.12,14.328545
 4.18,1.13,14.103443
 4.18,1.14,13.879744
 4.18,1.15,13.657556
 4.18,1.16,13.436986
 4.18,1.17,13.218142
 4.18,1.18,13.001132
 4.18,1.19,12.786065
 4.18,1.20,12.573047
 4.18,1.21,12.362186
 4.18,1.22,12.153591
 4.18,1.23,11.947368
 4.18,1.24,11.743625
 4.18,1.25,11.542470
 4.18,1.26,11.344011
 4.18,1.27,11.148355
 4.18,1.28,10.955610
 4.18,1.29,10.765883
 4.18,1.30,10.579283
 4.18,1.31,10.396035
 4.18,1.32,10.216839
 4.18,1.33,10.042513
 4.18,1.34, 9.873873
 4.18,1.35, 9.711740
 4.18,1.36, 9.556929
 4.18,1.37, 9.410261
 4.18,1.38, 9.272556
 4.18,1.39, 9.144637
 4.18,1.40, 9.027327
 4.18,1.41, 8.921446
 4.18,1.42, 8.827819
 4.18,1.43, 8.747266
 4.18,1.44, 8.680608
 4.18,1.45, 8.628464
 4.18,1.46, 8.590654
 4.18,1.47, 8.566793
 4.18,1.48, 8.556501
 4.18,1.49, 8.559394
 4.18,1.50, 8.575090
 4.18,1.51, 8.603205
 4.18,1.52, 8.643356
 4.18,1.53, 8.695159
 4.18,1.54, 8.758231
 4.18,1.55, 8.832188
 4.18,1.56, 8.916647
 4.18,1.57, 9.011224
 4.18,1.58, 9.115537
 4.18,1.59, 9.229200
 4.18,1.60, 9.351832
 4.18,1.61, 9.483077
 4.18,1.62, 9.622691
 4.18,1.63, 9.770461
 4.18,1.64, 9.926171
 4.18,1.65,10.089608
 4.18,1.66,10.260556
 4.18,1.67,10.438801
 4.18,1.68,10.624128
 4.18,1.69,10.816323
