g, c, u0
 4.00,1.00,11.994559
 4.00,1.01,11.929291
 4.00,1.02,11.864010
 4.00,1.03,11.798687
 4.00,1.04,11.733242
 4.00,1.05,11.667550
 4.00,1.06,11.601380
 4.00,1.07,11.534433
 4.00,1.08,11.466260
 4.00,1.09,11.396324
 4.00,1.10,11.323913
 4.00,1.11,11.248229
 4.00,1.12,11.168318
 4.00,1.13,11.083178
 4.00,1.14,10.991759
 4.00,1.15,10.893052
 4.00,1.16,10.786252
 4.00,1.17,10.670766
 4.00,1.18,10.546770
 4.00,1.19,10.415194
 4.00,1.20,10.277588
 4.00,1.21,10.136090
 4.00,1.22, 9.993455
 4.00,1.23, 9.853099
 4.00,1.24, 9.719094
 4.00,1.25, 9.595901
 4.00,1.26, 9.488109
 4.00,1.27, 9.400176
 4.00,1.28, 9.336006
 4.00,1.29, 9.298371
 4.00,1.30, 9.288036
 4.00,1.31, 9.303325
 4.00,1.32, 9.341775
 4.00,1.33, 9.400407
 4.00,1.34, 9.475639
 4.00,1.35, 9.563712
 4.00,1.36, 9.661182
 4.00,1.37, 9.764654
 4.00,1.38, 9.870708
 4.00,1.39, 9.976836
 4.00,1.40,10.081194
 4.00,1.41,10.182215
 4.00,1.42,10.278442
 4.00,1.43,10.368813
 4.00,1.44,10.453226
 4.00,1.45,10.532204
 4.00,1.46,10.606442
 4.00,1.47,10.676786
 4.00,1.48,10.744127
 4.00,1.49,10.809387
 4.00,1.50,10.873463
 4.00,1.51,10.937108
 4.00,1.52,11.000949
